,Artist,Painting name,Use of Colour,Brightness,Size,People near,,
,Paolo veronese,Scorn,M,Dull,L,1,,
,Paris Bordone,A pair of lovers,M,Bright,M,1,,
,Paolo veronese,The family of Darius before Alexander,H,Moderate,L,5,,
,Jacopo Tintoretto,The origin of Milky Way,H,Bright,L,3,,
,Jacopo Tintoretto,Saint George and the dragon,H,Moderate,M,2,,
,Jacopo Tintoretto,Christ washing the feet of the disciples,L,Dull,L,4,,
,El Greco,christ driving the traders from the temple,H,Moderate,M,4,,
,Paolo veronese,Happy union,M,Bright,L,3,,
,Paolo veronese,Respect,L,Moderate,M,2,,
,Giovanni Girolamo Savoldo,Saint Jerome,L,Dull,M,1,,
,Paolo veronese,The adoration of the kings,L,Moderate,L,12,,
,Giovanni Girolamo Savoldo,Mary Magdalene,L,Moderate,S,0,,
,Jacopo Bassano,The way to calvary,H,Bright,M,2,,
,Jacopo Bassano,The good Samaritan,L,Dull,S,2,,
,Paolo veronese,The consecration of Saint Nicholas,H,Moderate,L,4,,
,Paolo veronese,The dream of saint Helena,L,Dull,M,0,,
,Paolo veronese,Unfaithfulness,M,Bright,M,4,,
,Sebastiano del Piombo,Judith (or Salome?),L,Moderate,S,0,,
,Titian,Portrait of a Lady,L,Bright,M,1,,
,Titian,Portrait of a Young man,L,Moderate,S,0,,
,Titian,The Vendramin family,H,Bright,L,6,,
,Jacopo Tintoretto,portrait of Vincenzo morosini,L,Moderate,S,0,,
,Titian,the rest of the flight into egypt,H,Bright,S,0,,
,Titian,Noli me Tangere,H,Bright,M,2,,
,Titian,Bacchus and ariadne,H,Bright,L,8,,
,Titian,the aldobrandini madonna,M,Bright,M,3,,
,Titian,the holy family with a shepherd,H,Bright,M,3,,
,Titian,Poesie,M,Moderate,L,3,,
,Titian,the death of actaeon,L,Dull,L,5,,
,Titian,Diana and Callisto,M,Moderate,L,4,,
,Titian,An allegory of prudence,L,Dull,S,0,,
,Titian,the tribute money,M,Bright,M,0,,
,Titian,The virgin suckling the infant christ,L,Moderate,S,0,,
,Raphael,the madonna of the pinks,M,Bright,S,1,,
,Corregio,the madonna of the basket,M,Bright,S,0,,
,Raphael,the dream of a knight,H,Bright,S,2,,
,Pontormo,Pharaoh with his butler and baker,H,Bright,S,1,,
,Pontormo,Joseph with Jacob in egypt,H,Bright,M,3,,
,Pontormo,joseph sold to potiphar,H,Bright,S,0,,
,Pontormo,Josephâ€™s brothers beg for help,H,Bright,M,3,,
,Raphael,The ganagh madonna,H,Bright,S,0,,
,Corregio,christ taking leave for his mother,H,Bright,S,0,,
,Fra bartolommeo,the virgin adoring the child with saint Joseph,H,Bright,M,1,,
,Federico barocci,the madonna of the cat,H,Bright,M,1,,
,Francesco francia,The buonvisi Alterpiece,H,Bright,L,3,,
,Corregio,Christ presented to the people,M,Moderate,M,0,,
,Domenico beccafumi,tanaquil,M,Moderate,S,1,,
,Domenico beccafumi,the story of papirius,H,Bright,M,2,,
,Domenico beccafumi,marcia,M,Bright,S,1,,
,Parmigianino,The. Mystic marraige of saint Catherine,L,Dull,S,0,,
,Parmigianino,the madonna and child with saints,H,Bright,L,6,,
,Giovanni battista naldiniL,amentation of the dead christ,M,Moderate,M,0,,
,Altobello melone,The road to emmaus,H,Bright,M,2,,
,Bernardino luini,christ among the doctors,H,Bright,M,1,,
,Parmigianino,portrait pf a collector,M,Moderate,S,0,,
,Palma vecchio,Portrait of a poet,L,Dull,S,0,,
,Lorenzo lotto,"Giovanni Agostino della torre and his son, nicollo",L,Moderate,S,1,,
,Giovanni Battista Moroni,a knight. With his jousting helmet,M,Bright,M,0,,
,Moretto da brescia,portrait of a man,M,Moderate,M,1,,
,Lorenzo lotto,portrait of a woman inspired by lucretia,M,Bright,M,2,,
,Giovanni Battista Moroni,portrait of a man holding a letter,L,Moderate,S,0,,
,Frans Pourbus the younger,portrait of an unknown man,L,Moderate,M,0,,
,Moretto da brescia,Portrait of count fortunato,M,Bright,M,2,,
,Hans Holbein the younger,the ambassadors,H,Bright,L,8,,
,Giovanni Battista Moroni,Portrait of a Lady,M,Bright,M,2,,
,Giovanni Battista Moroni ,the tailor,L,Dull,S,0,,
,Andrea del Sarto,"the madonna and child, saint Elizabeth and the baptist",M,Dull,S,0,,
,Andrea del Sarto,Portrait of a Young man,L,Dull,S,0,,
,Raphael,Pope Julius ||,M,Bright,M,1,,
,Michelangelo ,the entombment ,M,Bright,L,6,,
,bronzino,Portrait of a Young man,S,Bright,S,2,,
,bronzino,the madonna and child with saints,M,Bright,M,1,,
,bronzino,an allegory with Venus and cupid,H,Bright,L,3,,
,Sebastiano del Piombo,the raising of lazarus,H,Moderate,L,6,,
,Sebastiano del Piombo,Portrait of a Lady,L,Moderate,M,0,,